id_jugador,id_club
16993,5
16993,12
16993,162
16993,583
16993,3631
17127,46
17127,410
17127,430
17129,5
17129,46
17129,410
17259,27
17348,1082
17872,189
17872,1023
17879,148
17879,281
17965,148
17965,417
17965,1041
17965,51828
18301,12
18301,46
18301,162
18301,281
18644,281
18644,367
18644,368
18644,1049
18829,162
18829,199
18829,614
18829,1023
18875,148
18922,418
18922,1041
18935,11
18935,58
18935,244
18935,281
18935,368
18935,379
18940,995
18940,1041
18944,131
18944,985
19041,410
19041,6195
19082,273
19082,368
19082,720
19085,11
19085,379
19085,873
19104,430
19104,762
19104,940
19104,985
19104,1050
19104,3368
19139,60
19139,273
19368,148
19368,931
19446,5
19446,430
19446,800
19447,5
19447,46
19447,276
19447,430
19447,800
19447,3368
19726,46
19726,985
19729,1049
19819,18
19981,31
19981,131
19981,199
19981,209
19981,379
20005,368
20005,800
20007,281
20007,379
20007,714
20137,5
20137,13
20137,27
20137,36
20137,449
20137,6195
20463,162
20463,826
20463,69261
20749,46
20749,294
21021,24
21327,985
21369,13
21369,131
21369,141
21690,6195
21725,13
21725,610
21725,614
21725,631
21748,5
21748,12
21748,13
21748,276
21748,416
21748,430
21748,800
21905,276
21905,379
21905,398
21905,410
21905,430
21905,6195
22068,27
22068,141
22068,244
22068,430
22155,416
22155,1025
22268,416
22268,6195
22318,398
22318,416
22328,410
22328,416
22328,430
22328,506
22328,6195
22412,46
22412,294
22412,614
22412,11141
22415,2462
22750,199
22750,221
22750,1041
22750,1050
22811,800
22832,31
22948,221
23295,368
23365,430
23443,58
23443,430
23674,449
23914,11
23914,244
23914,418
23914,583
23914,631
23951,244
23951,273
23951,873
24180,31
24180,36
24180,800
25366,543
25488,46
25488,398
25488,410
25488,506
25508,331
25508,368
25508,416
25508,417
25508,430
25508,583
25508,6195
25557,368
25557,418
25557,583
25557,2407
25727,16
25732,131
26101,12
26101,418
26101,1050
26153,336
26244,209
26244,244
26244,720
26267,281
26399,13
26399,131
26399,281
26456,46
26456,189
26456,379
26456,398
26456,430
26457,189
26457,199
26460,209
26460,683
26460,720
26460,3711
26485,27
26485,281
26485,1041
26764,11
26764,281
27114,148
27245,449
27245,614
27245,3709
27306,11
27306,762
27306,1082
27374,150
27374,294
27374,714
27389,13
27389,368
27389,583
27389,1049
27394,11
27394,131
27394,379
27470,244
27470,273
27470,368
27470,449
27511,405
27511,631
27511,873
27511,989
27577,148
27577,931
27661,720
27661,1041
27805,234
27805,506
27912,162
27992,5
27992,148
27992,418
28003,131
28003,583
28003,69261
28021,46
28021,398
28021,410
28140,399
28140,989
28396,12
28396,36
28396,46
28396,82
28396,281
28396,430
28833,410
28891,1075
29006,124
29006,399
29006,405
29006,703
29006,931
29016,265
29016,405
29039,683
